Brand,Description,link,pricewas,pricenow
APPLE,IPHONE 11 256GB - WHITE - MWM82X/A,https://www.davidjones.com/brand/apple/23016124/iPhone-11-256GB---White---MWM82X%7CA.html,"$1,449.00","$1,449.00"
APPLE,IPHONE 11 256GB - YELLOW - MWMA2X/A,https://www.davidjones.com/brand/apple/23016126/iPhone-11-256GB---Yellow---MWMA2X%7CA.html,"$1,449.00","$1,449.00"
APPLE,IPHONE 11 PRO 512GB - GOLD - MWCF2X/A,https://www.davidjones.com/brand/apple/23016139/iPhone-11-Pro-512GB---Gold---MWCF2X%7CA.html,"$2,349.00","$2,349.00"
APPLE,IPHONE 11 PRO 512GB - MIDNIGHT GREEN - MWCG2X/A,https://www.davidjones.com/brand/apple/23016140/iPhone-11-Pro-512GB---Midnight-Green---MWCG2X%7CA.html,"$2,349.00","$2,349.00"
APPLE,IPHONE 11 PRO 512GB - SILVER - MWCE2X/A,https://www.davidjones.com/brand/apple/23016138/iPhone-11-Pro-512GB---Silver---MWCE2X%7CA.html,"$2,349.00","$2,349.00"
APPLE,IPHONE 11 PRO 64GB - GOLD - MWC52X/A,https://www.davidjones.com/brand/apple/23016131/iPhone-11-Pro-64GB---Gold---MWC52X%7CA.html,"$1,749.00","$1,749.00"
APPLE,IPHONE 11 PRO MAX 256GB - SPACE GREY - MWHJ2X/A,https://www.davidjones.com/brand/apple/23016145/iPhone-11-Pro-Max-256GB---Space-Grey---MWHJ2X%7CA.html,"$2,149.00","$2,149.00"
APPLE,IPHONE 11 PRO MAX 512GB - MIDNIGHT GREEN - MWHR2X/A,https://www.davidjones.com/brand/apple/23016152/iPhone-11-Pro-Max-512GB---Midnight-Green---MWHR2X%7CA.html,"$2,499.00","$2,499.00"
APPLE,IPHONE 11 PRO MAX 512GB - SILVER - MWHP2X/A,https://www.davidjones.com/brand/apple/23016150/iPhone-11-Pro-Max-512GB---Silver---MWHP2X%7CA.html,"$2,499.00","$2,499.00"
APPLE,IPHONE 11 PRO MAX 64GB - SILVER - MWHF2X/A,https://www.davidjones.com/brand/apple/23016142/iPhone-11-Pro-Max-64GB---Silver---MWHF2X%7CA.html,"$1,899.00","$1,899.00"
APPLE,WATCH NIKE S5 GPS + CELL 40MM S/GRAY ALUM W/ANTHRACITE BAND,https://www.davidjones.com/brand/apple/23016549/Watch-Nike-S5-GPS-+-CELL-40mm-S%7CGray-Alum-W%7CAnthracite-Band.html,$799.00,$799.00
APPLE,WATCH NIKE S5 GPS + CELL 40MM SIL ALUM W/PURE PLATINUM BAND,https://www.davidjones.com/brand/apple/23016548/Watch-Nike-S5-GPS-+-CELL-40mm-SIL-Alum-W%7CPure-Platinum-Band.html,$799.00,$799.00
APPLE,WATCH NIKE S5 GPS + CELL 44MM S/GREY ALUM W/ANTHRACITE BAND,https://www.davidjones.com/brand/apple/23016551/Watch-Nike-S5-GPS-+-CELL-44mm-S%7CGrey-Alum-W%7CAnthracite-Band.html,$849.00,$849.00
APPLE,WATCH NIKE S5 GPS + CELL 44MM SIL ALUM W/PURE PLATINUM BAND,https://www.davidjones.com/brand/apple/23016550/Watch-Nike-S5-GPS-+-CELL-44mm-SIL-Alum-W%7CPure-Platinum-Band.html,$849.00,$849.00
APPLE,WATCH NIKE S5 GPS 40MM SILVER ALUM W/PURE PLATINUM BAND,https://www.davidjones.com/brand/apple/23016552/Watch-Nike-S5-GPS-40mm-Silver-Alum-W%7CPure-Platinum-Band.html,$649.00,$649.00
APPLE,WATCH NIKE S5 GPS 40MM SPACE GREY ALUM W/ANTHRACITE BAND,https://www.davidjones.com/brand/apple/23016553/Watch-Nike-S5-GPS-40mm-Space-Grey-Alum-W%7CAnthracite-Band.html,$649.00,$649.00
